AUC1,EER1,AUC2,EER2,AUC_cross,EER_cross
0.7583751626696412,0.3241541178657743,0.7774972530007298,0.35193044849481214,0.5244724083844289,0.4970412091829459
0.8936038215770209,0.17064489112227804,0.7533682041527976,0.3340703756538279,0.6225532152946771,0.43045089647842016
0.960868031570129,0.10575919693117183,0.9548335736601778,0.1055710766642634,0.44973130438528475,0.5514815951580943
0.8324776984268178,0.22902635524944726,0.8715034013605442,0.24140476190476193,0.3999508196721312,0.6069929742388759
0.8694909344490934,0.18705543933054392,0.9198992921951451,0.13998859911643152,0.8939037661782424,0.20260050267532098
0.8868729161820579,0.21278591920601692,0.8921498729250719,0.23514313753449478,0.3749881173059556,0.5874744522078046
0.8698377213118027,0.1846610378117993,0.8398543481365128,0.2536591460802513,0.8776509574714285,0.18935850152890144
0.9810886722671988,0.04572461649911669,0.9826808071514714,0.04575971951113375,0.980588905629132,0.059876482614095644
0.8069195608401064,0.2600346859889181,0.8559528203751552,0.242290527163518,0.8137798758978777,0.26756464137280694
0.6608803420907919,0.4032452662940438,0.7921329294369208,0.3075686029935852,0.8294245250859958,0.2817177476835353
0.5676290047268908,0.45683429621848737,0.9457491169338937,0.11366591994093317,0.3580887177292825,0.6387847667950364
0.4809413041792665,0.6018570210126386,0.9145506419400855,0.14182120779838325,0.2364185617185533,0.7413792621185422
0.8348586536506,0.29114551555826723,0.8860658082975679,0.19034334763948496,0.8715287432751012,0.21121320195853233
0.806552109527801,0.24207180776753284,0.8869574679343316,0.18992532745746113,0.4958050726426832,0.5219235182199758
0.8818336598563299,0.17527287993282953,0.8980945230945232,0.21635027885027885,0.8857302680832092,0.22669623404917522
0.7073075735974955,0.3123906876938226,0.9625918367346938,0.09183333333333332,0.41214988290398125,0.5753138173302108
0.848086592178771,0.2615223463687151,0.6082822638788753,0.472144616678683,0.4824836305677609,0.5120657254243128
0.8743088684404878,0.2301276805258921,0.8746314408551872,0.22043733520373043,0.8495314998916896,0.20928220160483757
0.894867712710084,0.17354500393907565,0.7481455064194008,0.3245839277223015,0.8379038348577663,0.21440519146317585
0.8353581901968998,0.25677095965720753,0.9178428856572569,0.18235849729113202,0.7298381959485285,0.36270164837498253
